TypeOverlay,AttributeOverlay,Art,Text,Name,Id,Rank,Life,Power,Attribute,Type,Hand,Cost
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.GEN.004.png,"<b>Rejuvenate:</b> <i>Whenever an allied card is deployed to this fortification's lane, that card regains +2 {l}.</i>",Hamlet,ALP.GEN.004,,8,,Non-attribute,Generalist Fortification,,
%PROJECT%/Leader.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.LMG.001.png,"Whenever a non-attribute reinforcement controlled by an opponent is revealed, draw 1 card, then discard 1 card.","Spotstrix, Conniving Goblin",ALP.LMG.001,,5,1,Non-attribute,Lootmonger Leader,3,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.LMG.002.png,"If this is the first order you have played this turn, draw 2 cards.",Kickstart,ALP.LMG.002,{r} {r} ,,,Non-attribute,Lootmonger Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.LMG.003.png,"Whenever you would draw one or more cards this turn as the result of an effect, draw 1 card.",Goblin's Greed,ALP.LMG.003,{r} {r} {r} ,,,Non-attribute,Lootmonger Order,,1
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.LMG.004.png,"The first time a card is deployed to this fortification's lane each turn, draw 1 card.",Junk Market,ALP.LMG.004,,6,,Non-attribute,Lootmonger Fortification,,
%PROJECT%/Leader.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.WIZ.001.png,"Whenever you play a <b>Spell</b> card, you may choose to pay double its {c}.  If you do, the card gains the <b>Prismatic</b> keyword.
(<b>Prismatic:</b> <i>This card's effects cannot be prevented or modified by another player.</i>)
<b>Spellcaster, Rank 3:</b><i> While this card is recruited, you may play a Spell card with Rank 3 or less. If you do, remove this card from the recruitment rail.</i>","Elq, Prismatic Witch",ALP.WIZ.001,,4,1,Arcane,Wizard Leader,2,2
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.WIZ.002.png,"<b>Once per Turn Order (1 {c}):</b> Parent Wizard card gains +1 {p} and its damage cannot be prevented or modified by another player.
<b>Equip:</b> <i>Attach this card to another card. It remains attached until the parent card is destroyed.</i>","Bifrost, Prismatic Staff",ALP.WIZ.002,{r} {r} {r} ,,,Arcane,Wizard Order,,1
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.WIZ.003.png,"<b>Trigger:</b> Target <b>Spell</b> card is played. 
<b>Response:</b> Target card gains the <b>Prismatic</b> keyword. 
(<b>Prismatic:</b> <i>This card's effects cannot be prevented or modified by another player.</i>)",Color Spray,ALP.WIZ.003,{r} ,,,Arcane,Wizard Response,,0
%PROJECT%/Fortification.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.WIZ.004.png,"Wizard leaders in reserve that share a lane with this fortification cannot be targeted by your opponent for attacks or card effects.
<b>Scout:</b> <i>Whenever an opponent places a reinforcement in this lane, reveal it.</i>",Outcast's Sanctum,ALP.WIZ.004,,6,,Arcane,Wizard Fortification,,
%PROJECT%/Unit.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.001.png,"<b>Spellcaster, Rank 1:</b><i> While this card is recruited, you may play a Spell card with Rank 1 or less. If you do, remove this card from the recruitment rail.</i>",Conjurer,ALP.ARC.001,,,0,Arcane,Unit,,0
%PROJECT%/Unit.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.002.png,"<b>Spellcaster, Rank 2:</b><i> While this card is recruited, you may play a Spell card with Rank 2 or less. If you do, remove this card from the recruitment rail.</i>",Thaumaturge,ALP.ARC.002,,,1,Arcane,Unit,,1
%PROJECT%/Unit.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.003.png,"<b>Spellcaster, Rank 3:</b><i> While this card is recruited, you may play a Spell card with Rank 3 or less. If you do, remove this card from the recruitment rail.</i>",Magus,ALP.ARC.003,,,2,Arcane,Unit,,2
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.004.png,"Target card on a recruitment rail gains the <b>Spellcaster, Rank 1</b> keyword until the end of this turn.
(<b>Spellcaster, Rank 1:</b><i> While this card is recruited, you may play a Spell card with Rank 1 or less. If you do, remove this card from the recruitment rail.</i>)",Magi's Teachings,ALP.ARC.004,{r} ,,,Arcane,Order,,0
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.005.png,Target <b>Spellcaster</b> card gains +1 <b>Rank</b>.,Graduation,ALP.ARC.005,{r} ,,,Arcane,Order,,0
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.006.png,"Deal 1 damage to any target in the lane of this card's <b>Spellcaster</b>.
<b>Spell, Rank 1:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Firebolt,ALP.ARC.006,{r} ,,,Arcane,Order,,0
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.007.png,The next <b>Spell</b> card played gains -1 <b>Rank</b> (to a minimum of <b>Rank 1</b>).,From the Spell Scroll,ALP.ARC.007,{r} ,,,Arcane,Order,,1
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.008.png,"Target card on a recruitment rail is moved to any other recruitment rail allied with that card.
<b>Spell, Rank 1:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Teleport,ALP.ARC.008,{r} ,,,Arcane,Order,,0
%PROJECT%/Reinforcement.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.009.png,"Any card that arrives at this fortification is <b>Reflected</b>. 
(<b>Reflected:</b> <i>Target card is moved across a fortification's reinforcement rail to the opposite side of the same fortification.</i>)",Reflection,ALP.ARC.009,{r} ,,,Arcane,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.010.png,"Any card that arrives at this fortification is <b>Translated</b>.
(<b>Translated:</b> <i>Target card is moved across the nearest lane boundary to a reinforcement rail belonging to a fortification in another lane.</i>)",Translation,ALP.ARC.010,{r} ,,,Arcane,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.011.png,"You may discard a card. If you do, replace this fortification with a different fortification card that you do not already control. All damage dealt to the original fortification is transfered to the new fortification.",Illusory Keep,ALP.ARC.011,{r} ,,,Arcane,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.012.png,You may play a <b>Spell</b> card (you must still satisfy the <b>Spellcaster</b> requirement to play a <b>Spell</b> card).,Glowing Sigils,ALP.ARC.012,{r} ,,,Arcane,Reinforcement,,
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.013.png,"<b>Trigger:</b> A player draws one or more cards as the result of another card's effect.
<b>Response:</b> You may look at the cards that were drawn this way.",Scrying,ALP.ARC.013,{r} ,,,Arcane,Response,,0
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.014.png,"<b>Trigger:</b> An allied <b>Spell</b> card is played.
<b>Response:</b> You may play a <b>Spell</b> card with equal or lesser Rank using the same <b>Spellcaster</b>.",Spell Echo,ALP.ARC.014,{r} ,,,Arcane,Response,,0
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.015.png,"<b>Trigger:</b> Target card arrives at a fortification.
<b>Response:</b> Target card is <b>Reflected</b>.
(<b>Reflected:</b> <i>Target card is moved across a fortification's reinforcement rail to the opposite side of the same fortification.</i>)",Blink,ALP.ARC.015,{r} ,,,Arcane,Response,,0
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.016.png,"<b>Trigger:</b> Target card arrives at a fortification.
<b>Response:</b> Target card is <b>Translated</b>.
(<b>Translated:</b> <i>Target card is moved across the nearest lane boundary to a reinforcement rail belonging to a fortification in another lane.</i>)",Shift,ALP.ARC.016,{r} ,,,Arcane,Response,,0
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.017.png,"<b>Once per Turn Order (0 {c}):</b> Parent card gains the <b>Spellcaster, Rank 1</b> keyword.
(<b>Spellcaster, Rank 1:</b><i> While this card is recruited, you may play a Spell card with Rank 1 or less. If you do, remove this card from the recruitment rail.</i>)
<b>Equip:</b> <i>Attach this card to another card. It remains attached until the parent card is destroyed.</i>",Robes of the Archmagus,ALP.ARC.017,{r} {r} ,,,Arcane,Order,,2
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.018.png,"Deal 2 damage to any target that shares a lane this card's <b>Spellcaster</b>.
<b>Spell, Rank 2:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Fireball,ALP.ARC.018,{r} {r} ,,,Arcane,Order,,0
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.019.png,The next <b>Spell</b> card played may choose an additional target for its effect.,Dualcast,ALP.ARC.019,{r} {r} ,,,Arcane,Order,,1
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.020.png,"Target card that shares a lane this card's <b>Spellcaster</b> may attack an additional time this turn.
<b>Spell, Rank 2:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Haste,ALP.ARC.020,{r} {r} ,,,Arcane,Order,,1
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.021.png,"Deal 2 Damage to all fortifications your opponent controls.
<b>Spell, Rank 2:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Chain Lightning,ALP.ARC.021,{r} {r} ,,,Arcane,Order,,1
%PROJECT%/Reinforcement.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.022.png,"Discard a card. If you do, the deployment phase ends.",Time Skip,ALP.ARC.022,{r} {r} ,,,Arcane,Reinforcement,,
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.023.png,"<b>Trigger:</b> An allied card takes damage on your turn.
<b>Response:</b> The damage is prevented.",Divination,ALP.ARC.023,{r} {r} ,,,Arcane,Response,,0
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.024.png,"<b>Trigger:</b> An allied <b>Spellcaster</b> Leader takes damage from an opponent's card. 
<b>Response:</b> You may play a <b>Spell</b> card (you must still satisfy the <b>Spellcaster</b> requirement to play a <b>Spell</b> card).",Spellish Rebuke,ALP.ARC.024,{r} {r} ,,,Arcane,Response,,1
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.025.png,"<b>Once per Turn Order (1 {c}):</b> Parent <b>Spellcaster</b> card ignores the recruitment requirement for next <b>Spell</b> card played this turn.
<b>Equip:</b> <i>Attach this card to another card. It remains attached until the parent card is destroyed.</i>",Robes of the Outcast Witch,ALP.ARC.025,{r} {r} {r} ,,,Arcane,Order,,3
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.026.png,"Deal 1 damage to any number of targets that share a lane this card's <b>Spellcaster</b>..
<b>Spell, Rank 3:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Meteor Shower,ALP.ARC.026,{r} {r} {r} ,,,Arcane,Order,,1
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.027.png,"Deal 3 damage to any target that shares a lane this card's <b>Spellcaster</b>.
<b>Spell, Rank 3:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Flare,ALP.ARC.027,{r} {r} {r} ,,,Arcane,Order,,1
%PROJECT%/Fortification.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.028.png,"Whenever an attached reinforcement is revealed, you may play a <b>Spell</b> card (you must still satisfy the <b>Spellcaster</b> requirement to play a <b>Spell</b> card).",College of Arcane Arts,ALP.ARC.028,,8,,Arcane,Fortification,,
%PROJECT%/Order.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.029.png,Return a <b>Spell</b> card from your discard pile to your hand. X is the <b>Rank</b> of that <b>Spell</b> card.,Extra Spell Slot,ALP.ARC.029,{r} ,,,Arcane,Order,,2X
%PROJECT%/Response.png,%PROJECT%/Arcane.png,%PROJECT%/ALP.ARC.030.png,"<b>Trigger:</b> An order is played.
<b>Response:</b> Negate that order's effects and destroy it.
<b>Spell, Rank 2:</b> <i>This card can only be played by the effect of a Spellcaster card.</i> ",Counterspell,ALP.ARC.030,{r} {r} ,,,Arcane,Response,,1
%PROJECT%/Leader.png,%PROJECT%/Melee.png,%PROJECT%/ALP.BSK.001.png,"Whenever Lothar is dealt damage to his {l}, create a Rage counter on his card.  ","Lothar, Axe of the Asperlands",ALP.BSK.001,,12,3,Melee,Berserker Leader,2,3
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.BSK.002.png,"Remove all Rage counters from target Berserker leader.  Until the end of your turn, that leader may be redeployed once for each Rage counter removed this way.",Seeing Bloodred,ALP.BSK.002,{r} {r} ,,,Melee,Berserker Order,,2
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.BSK.003.png,"Remove 1 Rage counter from target Berserker leader. If you do, until the start of your next turn that leader cannot be reduced below 1 {l}.",Relentless Rage,ALP.BSK.003,{r} {r} ,,,Melee,Berserker Order,,0
%PROJECT%/Fortification.png,%PROJECT%/Melee.png,%PROJECT%/ALP.BSK.004.png,"Allied leaders gain +1 {p} while deployed to a lane shared by this fortification.
<b>Defenseless:</b> <i>This fortification cannot be targeted for attacks. Any leader or unit that shares a lane with this fortification can be targeted for attacks.</i>",Wartorn Battlefield,ALP.BSK.004,,0,,Melee,Berserker Fortification,,
%PROJECT%/Unit.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.001.png,,Fighter,ALP.MEL.001,,,2,Melee,Unit,,1
%PROJECT%/Unit.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.002.png,"When this unit is deployed at the same time as a melee leader, it gains +1 {p}.",Knight,ALP.MEL.002,,,2,Melee,Unit,,2
%PROJECT%/Unit.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.003.png,"When this unit is deployed at the same time as a melee leader, it gains any modifications to {p} that the Leader has gained this turn. ",Champion,ALP.MEL.003,,,2,Melee,Unit,,3
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.004.png,Target leader gains a +1 {p} counter.,A Bigger Sword,ALP.MEL.004,{r} ,,,Melee,Order,,1
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.005.png,"The next time target leader would take damage, prevent 1 damage and regain +1 {l}.",Second Wind,ALP.MEL.005,{r} ,,,Melee,Order,,0
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.006.png,"You may destroy a unit on an allied recruitment rail.  If you do, you may recruit an allied leader for 0 {c}.",Frontline Fighter,ALP.MEL.006,{r} ,,,Melee,Order,,1
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.007.png,Target leader has -2 {c} until the end of your turn.,Willingness to Wage,ALP.MEL.007,{r} ,,,Melee,Order,,0
%PROJECT%/Order.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.008.png,Target leader has +2 {p} until the end of the turn.  You cannot recuit this leader this turn.  ,Overexert,ALP.MEL.008,{r} ,,,Melee,Order,,0
%PROJECT%/Reinforcement.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.009.png,"When this fortification is attacked, you may choose to defend it with an allied leader.  The leader you defend with becomes the new target of the attack.",Get Through Me!,ALP.MEL.009,{r} ,,,Melee,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.010.png,"When this fortification is attacked, it takes no damage unless the attacking card is an opposing leader card.",Honorable Duel,ALP.MEL.010,{r} ,,,Melee,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.011.png,"Until the end of your opponents turn, whenever an allied leader would take damage, they prevent 1 damage. ",Last Line of Defense,ALP.MEL.011,{r} ,,,Melee,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.012.png,"When this fortification takes damage, target leader gains +1 {l}. ",Back Home,ALP.MEL.012,{r} ,,,Melee,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Melee.png,%PROJECT%/ALP.MEL.013.png,"It this fortification is destroyed, you may recruit an allied leader for 0 {c}. ",Seek Vengeance ,ALP.MEL.013,{r} ,,,Melee,Reinforcement,,
